instrument,score,label
SZ002594,0.1109094,0.0035455227
SZ002460,0.11083098,0.10008693
SZ002920,0.11081445,0.04455602
SH601169,0.11080006,-0.02288735
SH601995,0.11077507,0.032850027
SZ002074,0.110758066,0.100000024
SH600061,0.110725015,0.01219511
SZ300014,0.110628724,-0.032258034
SZ002821,0.11055182,-0.02086097
SH688271,0.11048806,0.020149708
SH600039,0.110465884,-0.011532128
SZ000999,0.110441044,0.033638
SZ301269,0.11042091,-0.0090909
SZ002821,0.11040507,0.005340576
SH600919,0.11037868,0.0041264296
SH688012,0.110363066,-0.06268525
SH600760,0.1103604,0.0022271872
SH600010,0.11031403,0.0
SZ002709,0.11028612,-0.0028149486
SH601288,0.11020726,0.0072114468
SH601899,0.11016846,-0.025925934
SH605117,0.110147744,-0.09739727
SZ300454,0.11011198,0.019424438
SH600760,0.10999903,-0.017142892
SH688082,0.10998896,-0.0067828298
SZ300408,0.109839246,-0.01943326
SZ000876,0.10978982,-0.0034285784
SH600918,0.10968082,-0.04571438
SZ000768,0.10959691,0.009971142
SZ000157,0.10952827,-0.027067602
SZ002049,0.10949616,-0.0058869123
SH601919,0.10947159,0.0086455345
SH600900,0.10939045,-0.014817476
SZ300223,0.10930781,0.19993842
SH600926,0.10929051,0.02620089
SH600196,0.10922156,-0.0037174225
SH600309,0.10921691,-0.012550771
SH600438,0.10918334,0.06789315
SH600309,0.10917674,0.010083795
SZ300763,0.1091672,0.0043348074
SH688981,0.109119445,-0.023470879
SZ002180,0.1090858,0.007440448
SZ300122,0.10907981,-0.11987066
SH601865,0.10902381,-0.0048000216
SH600570,0.10898946,0.006790042
SH600690,0.1089683,0.015023112
SZ000895,0.10892601,-0.004768491
SH601916,0.10890785,0.02721095
SH601088,0.108874574,-0.013906479
SH600089,0.10884309,0.006177664
SH600028,0.1088178,0.01026392
SZ002230,0.108710885,0.029936194
SZ000999,0.10870199,0.028746963
SH688012,0.10866654,-0.0075398088
SZ000651,0.10861173,0.024583817
SH688599,0.10858558,-0.007380128
SZ000063,0.10856336,-0.0003606081
SZ002841,0.10850985,-0.011102557
SH600010,0.10850604,0.0
SZ002049,0.10848494,-0.006000936
SZ002236,0.10843241,-0.032960534
SH600050,0.10830186,0.0
SZ300124,0.10828675,-0.011113703
SZ002466,0.10819979,0.0065042973
SH601319,0.10807027,-0.007532954
SH600887,0.108070225,-0.004232824
SZ002027,0.10803969,-0.015197635
SZ300661,0.107987255,-0.047926843
SH601689,0.1079787,0.00018823147
SH601238,0.10796569,0.003464222
SH601328,0.10791659,0.015193343
SZ300347,0.10789311,0.0
SH603799,0.10787189,-0.001116097
SZ300124,0.10786231,-0.022610486
SH600926,0.107817575,0.007052183
SH600332,0.10780588,0.021526456
SZ002601,0.1077214,0.0036697388
SH600085,0.10771461,0.017302155
SH600460,0.10770683,0.03259003
SH600309,0.107638806,0.0005322695
SH600048,0.10763565,-0.02763015
SH601319,0.10760465,0.0059406757
SZ002648,0.107572004,0.03160155
SZ000661,0.10750961,-0.0065006614
SZ300347,0.10748902,-0.029821754
SZ000876,0.10747452,0.0057536364
SZ002594,0.10742062,0.040865064
SH600406,0.107411146,-0.026881754
SZ000895,0.10727134,0.0063911676
SH601995,0.10722911,-0.011534393
SH603296,0.10706495,0.0055971146
SZ300347,0.10699186,0.018779278
SH601989,0.106964454,0.039822936
SZ300450,0.10695256,-0.05855167
SH600219,0.10691744,0.026490092
SH600406,0.10690302,-0.018907547
SZ000792,0.106897384,-0.027962685
SH600346,0.10679899,-0.0007581711
SH600519,0.106742695,0.0011410713
SH601238,0.10670771,0.0105262995
SH601615,0.10666074,-0.00068068504
SH688065,0.10664709,-0.01594448
SH601236,0.1066311,0.012841105
SH601728,0.10662882,0.0033726692
SH600276,0.10660842,0.0031826496
SH600111,0.106607795,0.0005903244
SZ000166,0.10659751,0.0044944286
SZ002311,0.10659523,-0.01459682
SZ000157,0.10656276,0.0014123917
SH601088,0.10654637,-0.033746004
SZ002202,0.1064693,-0.03571433
SZ300763,0.106459215,-0.020271242
SH601865,0.10640961,-0.078947365
SH688187,0.10637948,-0.0105397105
SH600025,0.106376484,-0.011337876
SH601377,0.106358334,0.010638356
SH601688,0.106270626,-0.03604901
SH601878,0.106242836,0.016881824
SH603259,0.10602692,0.034096956
SZ002594,0.10600138,-0.066253304
SH601878,0.105899826,0.0095329285
SH600150,0.105899036,0.03662908
SH688561,0.105894715,0.19824338
SH600845,0.10588455,-0.02039355
SZ300433,0.10584973,0.046594977
SH603296,0.10583545,-0.0021508932
SZ002920,0.10578622,0.010981441
SZ300919,0.105785996,0.0030654669
SH601988,0.10578047,-0.006000042
SZ300142,0.1057014,0.04483068
SH600918,0.10563938,0.0235641
SZ300454,0.10560781,0.010935068
SH603806,0.10559957,-0.053650737
SH688036,0.1055606,-0.031600118
SH600018,0.105553776,-0.005692601
SH601816,0.10552949,0.011764646
SH601066,0.10549687,0.017911792
SZ300413,0.10547517,-0.017580211
SZ001289,0.105473116,-0.007878125
SZ000725,0.10544033,-0.019464612
SZ000800,0.105439514,0.0143197775
SH601615,0.105436176,0.00221622
SZ300142,0.10535559,-0.0027991533
SH600803,0.10533725,-0.027964711
SH600219,0.10533385,0.0
SH600426,0.10530099,0.0048964024
SH600754,0.105274394,-0.0120399
SZ300408,0.10523833,0.009322286
SH600089,0.10520814,0.00067436695
SZ002050,0.105077714,-0.022767842
SH600161,0.10500896,0.003103137
SH600875,0.10499358,0.003481865
SH601012,0.104993284,0.09794986
SZ002916,0.10494715,-0.018918931
SH601229,0.104857564,-0.014175236
SZ002920,0.10485721,0.10000837
SH600547,0.10479006,-0.021724224
SZ002603,0.10471521,-0.011118293
SH600803,0.10468544,-0.010154963
SH688012,0.10468392,0.013412118
SH601236,0.104659915,0.0157274
SZ000100,0.10465488,-0.032258034
SH688599,0.10459831,-0.01733023
SZ300418,0.1045973,0.02044785
SZ300418,0.104577124,-0.0042039156
SH600905,0.10455291,-0.019230783
SH600031,0.10452087,-0.013465583
SH600161,0.10451056,-0.028137743
SZ002594,0.10442935,0.018173933
SZ002459,0.10436675,-0.018276751
SH603659,0.1043475,-0.03271818
SH600958,0.10433504,0.09991002
SZ300223,0.10433456,0.016055107
SH601628,0.10428169,-0.020837903
SZ000568,0.10427582,0.010761738
SH600919,0.10421765,0.015981793
SH600233,0.10417025,0.05871892
SH600030,0.104133904,-0.00052309036
SZ000807,0.10403946,0.023295999
SH688065,0.103961304,-0.026507974
SH688187,0.10394837,-0.024124503
SH601788,0.1039345,0.0070952177
SH600276,0.10392082,-0.02100563
SH601988,0.10387318,0.024242401
SH601878,0.10386945,0.0
SZ300408,0.10380204,0.02880323
SH600754,0.10368146,-0.042830586
SH600196,0.10364309,0.055294514
SZ002371,0.10362962,0.03639233
SH600176,0.10362555,-0.025450706
SZ002594,0.103595376,0.0061433315
SH601698,0.10357824,0.041306973
SZ002594,0.103525415,-0.0062997937
SH600061,0.1035088,0.0016366243
SH688396,0.10345431,-0.016449273
SZ300496,0.10344872,0.013428688
SH600732,0.103434905,-0.034482718
SH688111,0.103401035,-0.02430451
SH688981,0.10338782,-0.0128775835
SH603392,0.103372544,-0.017950177
SZ002459,0.10336959,0.00093460083
SH688126,0.10335158,0.03870964
SH601898,0.10329114,0.012298226
SZ000800,0.103288695,-0.010238886
SH603486,0.103287086,0.0
SZ000001,0.10326637,0.05487299
SZ002311,0.10325919,-0.0016746521
SH600989,0.10325472,0.0053412914
SH600132,0.10321736,-0.021152318
SZ000708,0.10318664,-0.013117313
SH688271,0.103147194,0.042865515
SH600803,0.10312474,0.084870815
SH688561,0.103078425,0.028210402
SH601788,0.102984816,-0.02777785
SZ300957,0.102898,0.12624156
SH600150,0.1028921,0.056357145
SZ000800,0.102874085,0.009445071
SZ002001,0.10280308,0.006619096
SZ002821,0.10274215,-0.02997458
SH601988,0.10273078,-0.032193124
SH601021,0.10271661,0.031774044
SH600233,0.10271345,-0.014537096
SH600009,0.10268518,-0.006559193
SH601939,0.102655545,0.010088325
SH688065,0.102637365,-0.013769805
SH600011,0.10255669,0.0011123419
SH603806,0.10255411,-0.014742076
SH688396,0.10253215,0.050245047
SZ002241,0.10252757,0.023214221
SH601888,0.10249798,0.0018237829
SZ000858,0.102450624,-0.012558401
SH600795,0.10243054,-0.0019961
SZ300454,0.10241896,0.10815525
SH601878,0.10241453,-0.014520764
SH688082,0.10240978,0.03934467
SZ002841,0.10235195,0.044172406
SH601800,0.102304235,-0.07499999
SH601688,0.102302,0.013240457
SZ000661,0.10229008,0.022773266
SZ300408,0.102235794,0.0045517683
SZ300896,0.10222669,-0.023637652
SH601111,0.1022232,-0.001398623
SZ002460,0.10219163,0.011967778
SH600588,0.1021207,0.0008459091
SH601799,0.102111265,-0.0062202215
SH600999,0.102105916,-0.0042045712
SH600585,0.10206658,-0.0065309405
SH603806,0.102059916,-0.043988287
SH600893,0.102034345,-0.013907492
SZ000800,0.10202575,-0.013157904
SZ000651,0.101993844,-0.023871362
SZ002841,0.10189575,0.008677602
SZ300979,0.10183446,0.004488826
SH603019,0.1018264,-0.013851762
SZ300628,0.101759344,-0.037706673
SZ002410,0.1017562,0.0026333332
SH601988,0.1016026,0.022271752
SH600009,0.1015888,-0.00056040287
SH603290,0.10157387,-0.010141969
SH688561,0.101472065,0.05861163
SZ300308,0.101428196,0.15913165
SZ002241,0.101423785,-0.09406954
SZ300274,0.10141246,0.0976553
SH600999,0.10134311,-0.010716677
SZ002920,0.10128009,-0.0049613714
SZ002475,0.10127953,-0.014311671
SZ300759,0.10127501,0.040784717
SH600886,0.101216376,-0.021052599
SH601658,0.10120006,-0.01886791
SH601138,0.10119967,-0.016617775
SH600016,0.10117644,0.013089061
SH688396,0.101168185,-0.006447792
SH600989,0.10116431,-0.017344892
SH600845,0.10115208,-0.0071582794
SH603369,0.10111524,-0.04012084
SH688009,0.10111396,-0.03323263
SZ002493,0.101113096,0.018999934
SH601857,0.10103682,0.076372266
SH600029,0.10099895,0.0050934553
SZ002466,0.100933746,-0.021603227
SZ000538,0.100931,-0.0092206
SZ000625,0.10090791,0.012269855
SZ002252,0.100903034,-0.0181818
SZ002736,0.100851074,0.0044943094
SH600515,0.10079068,-0.013550103
SH600926,0.10078263,-0.057142913
SH600019,0.10078113,0.0
SH600025,0.10063715,0.02768457
SH601319,0.10062729,-0.0037175417
SH601788,0.100526765,0.0076965094
SZ000776,0.10050908,-0.0428316
SH600837,0.10050729,0.03786981
SZ002049,0.10050689,-0.010067046
SZ000157,0.10045923,0.010554075
SH600188,0.10030262,0.08090615
SH600795,0.10022819,-0.01992029
